parent_org,plan_name,status,state,notes
"Aetna (CVS Health)",,in-network,AZ,"From Teamlink: 10 plan(s) · sample: Aetna - Commercial EPO / Aetna - Commercial HMO / Aetna - Commercial PPO"
"Aetna (CVS Health)",,in-network,CA,"From Teamlink: 13 plan(s) · sample: Aetna - Commercial / Aetna - EAP / Aetna - EPO"
"Aetna (CVS Health)",,in-network,CT,"From Teamlink: 4 plan(s) · sample: Aetna / Aetna MCR / Aetna PPO"
"Aetna (CVS Health)",,in-network,DC,"From Teamlink: 9 plan(s) · sample: Aetna - Commercial EPO / Aetna - Commercial HMO / Aetna - Commercial PPO"
"Aetna (CVS Health)",,in-network,FL,"From Teamlink: 7 plan(s) · sample: Aetna Comercial / Aetna Medicare / Aetna HMO"
"Aetna (CVS Health)",,in-network,GA,"From Teamlink: 8 plan(s) · sample: Aetna - Commercial EPO / Aetna - Commercial HMO / Aetna - Commercial PPO"
"Aetna (CVS Health)",,in-network,IL,"From Teamlink: 9 plan(s) · sample: Aetna - EPO / Aetna - First Health / Aetna - HMO"
"Aetna (CVS Health)",,in-network,IN,"From Teamlink: 5 plan(s) · sample: Aetna / Aetna PPO / Aetna HMO"
"Aetna (CVS Health)",,in-network,KY,"From Teamlink: 4 plan(s) · sample: Aetna / Aetna PPO / Aetna HMO"
"Aetna (CVS Health)",,in-network,MA,"From Teamlink: 8 plan(s) · sample: Aetna - EPO / Aetna - First Health / Aetna - HMO"
"Aetna (CVS Health)",,in-network,MD,"From Teamlink: 6 plan(s) · sample: Aetna MCR / Aetna PPO / Aetna HMO"
"Aetna (CVS Health)",,in-network,MI,"From Teamlink: 4 plan(s) · sample: AETNA / AETNA PPO / AETNA HMO"
"Aetna (CVS Health)",,in-network,MN,"From Teamlink: 8 plan(s) · sample: Aetna - EPO / Aetna - First Health / Aetna - Mange Choice"
"Aetna (CVS Health)",,in-network,MO,"From Teamlink: 4 plan(s) · sample: Aetna HMO / Aetna PPO / Aetna EAP"
"Aetna (CVS Health)",,in-network,NC,"From Teamlink: 7 plan(s) · sample: Aetna - EPO / Aetna - HMO / Aetna - Manage Choice"
"Aetna (CVS Health)",,in-network,NM,"From Teamlink: 5 plan(s) · sample: Aetna - EPO / Aetna - First Health / Aetna - HMO"
"Aetna (CVS Health)",,in-network,NY,"From Teamlink: 8 plan(s) · sample: Aetna Medicare Advantage / Aetna / Aetna PPO"
"Aetna (CVS Health)",,in-network,OH,"From Teamlink: 10 plan(s) · sample: AETNA - EPO / AETNA - First Health / AETNA - HMO"
"Aetna (CVS Health)",,in-network,OR,"From Teamlink: 4 plan(s) · sample: Aetna / Aetna HMO / Aetna PPO"
"Aetna (CVS Health)",,in-network,PA,"From Teamlink: 9 plan(s) · sample: Aetna - Commercial EPO / Aetna - Commercial HMO / Aetna - Commercial PPO"
"Aetna (CVS Health)",,in-network,SC,"From Teamlink: 5 plan(s) · sample: Aetna / Aetna EPO / Aetna HMO"
"Aetna (CVS Health)",,in-network,TN,"From Teamlink: 6 plan(s) · sample: Aetna MCR / Aetna PPO / Aetna HMO"
"Aetna (CVS Health)",,in-network,TX,"From Teamlink: 8 plan(s) · sample: Aetna - EPO / Aetna - First Health / Aetna - HMO"
"Aetna (CVS Health)",,in-network,UT,"From Teamlink: 6 plan(s) · sample: Aetna - EPO / Aetna - First Health / Aetna - HMO"
"Aetna (CVS Health)",,in-network,VA,"From Teamlink: 6 plan(s) · sample: Aetna / Aetna Commercial / Aetna PPO"
"Aetna (CVS Health)",,in-network,WA,"From Teamlink: 8 plan(s) · sample: Aetna - EAP / Aetna - Commercial EPO / Aetna - Commercial HMO"
"Aetna (CVS Health)",,pending,WI,"From Teamlink: 4 plan(s) · sample: Aetna / Aetna PPO / Aetna HMO"
"AmeriHealth Caritas",,pending,AZ,"From Teamlink: 1 plan(s) · sample: AmeriHealth Caritas Arizona"
"AmeriHealth Caritas",,pending,DC,"From Teamlink: 1 plan(s) · sample: AmeriHealth Caritas DC"
"AmeriHealth Caritas",,pending,NC,"From Teamlink: 1 plan(s) · sample: Amerihealth - Caritas"
"AmeriHealth Caritas",,pending,OH,"From Teamlink: 1 plan(s) · sample: Ameri-Health-Caritas"
"AmeriHealth Caritas",,in-network,PA,"From Teamlink: 3 plan(s) · sample: Amerihealth PA / Amerihealth PA - Healthcare Toss / Amerihealth PA - VIP Care"
"AmeriHealth Caritas",,pending,SC,"From Teamlink: 1 plan(s) · sample: Ameri Health Caritas"
"Amida Care",,pending,NY,"From Teamlink: 1 plan(s) · sample: Amida Care"
"Baylor Scott & White Health Plan",,in-network,TX,"From Teamlink: 8 plan(s) · sample: Baylor Scott & White Health Plan / Baylor Scott & White Health Plan - BSW Plus HMO / Baylor Scott & White Health Plan - BSW plus PPO"
"Blue Cross Blue Shield (BCBS — affiliate varies)",,in-network,AZ,"From Teamlink: 9 plan(s) · sample: AZ Blue - ALN / AZ Blue - HMO / AZ Blue - MDH (Medicare HMO)"
"Blue Cross Blue Shield (BCBS — affiliate varies)",,in-network,CA,"From Teamlink: 5 plan(s) · sample: BCBS (Commercial HMO) / BCBS (Commercial PPO) / BCBS (Medicare Advantage HMO)"
"Blue Cross Blue Shield (BCBS — affiliate varies)",,in-network,DC,"From Teamlink: 1 plan(s) · sample: CareFirst BlueCross BlueShield"
"Blue Cross Blue Shield (BCBS — affiliate varies)",,in-network,IL,"From Teamlink: 9 plan(s) · sample: BCBS - Blue Choice Options / BCBS - Blue Choice PPO / BCBS - Blue Choice Preferred"
"Blue Cross Blue Shield (BCBS — affiliate varies)",,pending,MA,"From Teamlink: 1 plan(s) · sample: BCBS MA"
"Blue Cross Blue Shield (BCBS — affiliate varies)",,pending,MD,"From Teamlink: 2 plan(s) · sample: BCBS Care First / BCBS Commercial"
"Blue Cross Blue Shield (BCBS — affiliate varies)",,in-network,MI,"From Teamlink: 1 plan(s) · sample: BCBS"
"Blue Cross Blue Shield (BCBS — affiliate varies)",,pending,MO,"From Teamlink: 1 plan(s) · sample: BCBS"
"Blue Cross Blue Shield (BCBS — affiliate varies)",,in-network,NC,"From Teamlink: 5 plan(s) · sample: BCBS NC - Commerical Major Medical / BCBS NC - HMO / BCBS NC - Blue Value"
"Blue Cross Blue Shield (BCBS — affiliate varies)",,in-network,NM,"From Teamlink: 10 plan(s) · sample: BCBS - Blue Advantage / BCBS - Blue Community HMO Network (CNN) / BCBS - Exclusive Provider Network (EPN)"
"Blue Cross Blue Shield (BCBS — affiliate varies)",,in-network,NY,"From Teamlink: 1 plan(s) · sample: BCBS NY Traditional"
"Blue Cross Blue Shield (BCBS — affiliate varies)",,in-network,OR,"From Teamlink: 1 plan(s) · sample: Regence BCBS"
"Blue Cross Blue Shield (BCBS — affiliate varies)",,in-network,PA,"From Teamlink: 37 plan(s) · sample: BCBS - Capital of Blue Cross - CareConnect / BCBS - Capital of Blue Cross - HMO / BCBS - Capital of Blue Cross - Medicare Advantage HMO"
"Blue Cross Blue Shield (BCBS — affiliate varies)",,pending,SC,"From Teamlink: 1 plan(s) · sample: BCBS SC"
"Blue Cross Blue Shield (BCBS — affiliate varies)",,pending,TN,"From Teamlink: 1 plan(s) · sample: BCBS TN"
"Blue Cross Blue Shield (BCBS — affiliate varies)",,in-network,TX,"From Teamlink: 12 plan(s) · sample: BCBS - Blue Advantage HMO / BCBS - Blue Essentials HMO / BCBS - Blue High Performance Network"
"Blue Cross Blue Shield (BCBS — affiliate varies)",,in-network,UT,"From Teamlink: 1 plan(s) · sample: BCBS - Regence"
"Blue Cross Blue Shield (BCBS — affiliate varies)",,in-network,WA,"From Teamlink: 6 plan(s) · sample: BCBS Federal Employee Program - Commercial / Premera - Lifewise of WA / Premera - Blue Cross Comercial"
"Blue Cross Blue Shield of Minnesota",,pending,MN,"From Teamlink: 1 plan(s) · sample: BluePlus/Blue Cross Blue Shield of Minnesota"
"CareSource",,pending,GA,"From Teamlink: 1 plan(s) · sample: CareSource"
"CareSource",,pending,IN,"From Teamlink: 1 plan(s) · sample: Caresource"
"CareSource",,pending,KY,"From Teamlink: 1 plan(s) · sample: CareSource Kentucky"
"CareSource",,pending,NC,"From Teamlink: 1 plan(s) · sample: Care Source"
"CareSource",,pending,OH,"From Teamlink: 1 plan(s) · sample: Care Source"
"Centene",,pending,AZ,"From Teamlink: 2 plan(s) · sample: Ambetter / Health Net"
"Centene",,in-network,CA,"From Teamlink: 6 plan(s) · sample: Health Net - Commercial / Health Net - Marketplace / Health Net - Medicare"
"Centene",,in-network,CT,"From Teamlink: 3 plan(s) · sample: Centene / Ambetter / Wellcare"
"Centene",,req-denied,DC,"From Teamlink: 1 plan(s) · sample: Wellcare"
"Centene",,in-network,FL,"From Teamlink: 5 plan(s) · sample: Ambetter / Ambetter Health Solutions / Ambetter Health Value"
"Centene",,req-denied,GA,"From Teamlink: 4 plan(s) · sample: Ambetter - Peach Health Plan / Health Net / Peach State Health Plan"
"Centene",,in-network,IL,"From Teamlink: 3 plan(s) · sample: Ambetter / Celtic / Centene"
"Centene",,pending,IN,"From Teamlink: 2 plan(s) · sample: Ambetter / Allwell from Magnolia Health"
"Centene",,in-network,KY,"From Teamlink: 1 plan(s) · sample: Ambetter"
"Centene",,in-network,MI,"From Teamlink: 1 plan(s) · sample: AMBETTER"
"Centene",,pending,MO,"From Teamlink: 3 plan(s) · sample: Centene/Homestate health / Celtic / Ambetter"
"Centene",,in-network,NC,"From Teamlink: 4 plan(s) · sample: Ambetter NC (Wellcare) / Centene / WellCare of North Carolina - Medicaid"
"Centene",,req-denied,NM,"From Teamlink: 3 plan(s) · sample: Ambetter / Centene / Wellcare"
"Centene",,in-network,NY,"From Teamlink: 6 plan(s) · sample: Wellcare / Wellcare Commercial / Wellcare dual Plus"
"Centene",,pending,OH,"From Teamlink: 3 plan(s) · sample: Ambetter / Centene / Wellcare"
"Centene",,pending,OR,"From Teamlink: 1 plan(s) · sample: Health net"
"Centene",,in-network,PA,"From Teamlink: 2 plan(s) · sample: Ambetter (PA Health & Wellness) / Wellcare"
"Centene",,pending,TN,"From Teamlink: 1 plan(s) · sample: Ambetter"
"Centene",,in-network,TX,"From Teamlink: 8 plan(s) · sample: Ambetter from Superior HealthPlan / Sun Shine Health Plan / Superior Health Plan - Ambetter"
"Centene",,in-network,WA,"From Teamlink: 5 plan(s) · sample: Co-ordinated Care (Apple Care/Ambetter) / Wellcare - HNN / Wellcare - WAR"
"Cigna",,in-network,AZ,"From Teamlink: 6 plan(s) · sample: Cigna (Evernorth) - EAP / Cigna (Evernorth) - EPO / Cigna (Evernorth) - HMO"
"Cigna",,in-network,CA,"From Teamlink: 15 plan(s) · sample: Cigna - EAP / Cigna - HMO / Cigna - TPA"
"Cigna",,in-network,CT,"From Teamlink: 4 plan(s) · sample: Cigna PPO / Cigna HMO / Cigna POS"
"Cigna",,in-network,DC,"From Teamlink: 7 plan(s) · sample: Cigna / Cigna - EAP / Cigna - HMO"
"Cigna",,in-network,FL,"From Teamlink: 7 plan(s) · sample: Cigna / Cigna Medicare / Cigna HMO"
"Cigna",,in-network,GA,"From Teamlink: 6 plan(s) · sample: Cigna - EAP / Cigna - HMO / Cigna - OAP"
"Cigna",,in-network,IL,"From Teamlink: 5 plan(s) · sample: Cigna EAP / Cigna HMO / Cigna Medicare"
"Cigna",,in-network,IN,"From Teamlink: 4 plan(s) · sample: Cigna / Cigna PPO / Cigna HMO"
"Cigna",,in-network,KY,"From Teamlink: 3 plan(s) · sample: Cigna / Cigna PPO / Cigna HMO"
"Cigna",,in-network,MA,"From Teamlink: 6 plan(s) · sample: Cigna - EAP / Cigna - HMO / Cigna - Medicare"
"Cigna",,in-network,MD,"From Teamlink: 7 plan(s) · sample: Cigna MCR / Cigna POS / Cigna EAP"
"Cigna",,in-network,MI,"From Teamlink: 6 plan(s) · sample: CIGNA / CIGNA PPO / CIGNA EAP"
"Cigna",,in-network,MN,"From Teamlink: 5 plan(s) · sample: Cigna - EPO / Cigna - HMO / Cigna - Medicare"
"Cigna",,in-network,MO,"From Teamlink: 4 plan(s) · sample: CIGNA / CIGNA PPO / CIGNA HMO"
"Cigna",,in-network,NC,"From Teamlink: 6 plan(s) · sample: Cigna - EAP / Cigna - HMO / Cigna - Medicare Advantage"
"Cigna",,in-network,NM,"From Teamlink: 6 plan(s) · sample: Cigna - EAP / Cigna - HMO / Cigna - Medicare"
"Cigna",,in-network,NY,"From Teamlink: 6 plan(s) · sample: Cigna / Cigna HMO / Cigna PPO"
"Cigna",,in-network,OH,"From Teamlink: 6 plan(s) · sample: CIGNA - EAP / CIGNA - HMO / CIGNA - OAP"
"Cigna",,in-network,OR,"From Teamlink: 7 plan(s) · sample: Cigna/Evernorth / Cigna PPO / Cigna HMO"
"Cigna",,in-network,PA,"From Teamlink: 6 plan(s) · sample: Cigna - Commercial EAP / Cigna - Commercial HMO / Cigna - Commercial Open Access Plus"
"Cigna",,in-network,SC,"From Teamlink: 6 plan(s) · sample: Cigna / Cigna PPO / Cigna EPO"
"Cigna",,in-network,TN,"From Teamlink: 7 plan(s) · sample: Cigna MCR / Cigna POS / Cigna EAP"
"Cigna",,in-network,TX,"From Teamlink: 6 plan(s) · sample: Cigna - EAP / Cigna - HMO / Cigna - Medicare"
"Cigna",,in-network,UT,"From Teamlink: 6 plan(s) · sample: Cigna - EPA / Cigna - HMO / Cigna - Medicare Advantge"
"Cigna",,in-network,VA,"From Teamlink: 6 plan(s) · sample: Cigna / Cigna PPO / Cigna HMO"
"Cigna",,in-network,WA,"From Teamlink: 7 plan(s) · sample: Cigna / Cigna EAP / Cigna HMO"
"Cigna",,in-network,WI,"From Teamlink: 3 plan(s) · sample: Cigna / Cigna PPO / Cigna HMO"
"Clover Health",,pending,CA,"From Teamlink: 1 plan(s) · sample: Clover Health"
"Clover Health",,pending,SC,"From Teamlink: 1 plan(s) · sample: Clover Health"
"Community Health Choice (TX)",,pending,TX,"From Teamlink: 1 plan(s) · sample: Community Health Choice"
"Devoted Health",,in-network,AZ,"From Teamlink: 1 plan(s) · sample: Devoted Health"
"Devoted Health",,pending,NM,"From Teamlink: 1 plan(s) · sample: Devoted Health"
"Devoted Health",,in-network,OH,"From Teamlink: 1 plan(s) · sample: Devoted Health Care"
"Devoted Health",,pending,SC,"From Teamlink: 1 plan(s) · sample: Devoted Health"
"Devoted Health",,in-network,TX,"From Teamlink: 1 plan(s) · sample: Devoted Health Care"
"Elevance Health",,in-network,AZ,"From Teamlink: 8 plan(s) · sample: Carelon - Becon Health Ocean INC / Carelon - Commerical / Carelon - Emblem Health HMO"
"Elevance Health",,in-network,CA,"From Teamlink: 15 plan(s) · sample: Carelon-Beacon - Health Option / Carelon-Beacon Califonia Commercial Exchange / Carelon-EmblemHealth"
"Elevance Health",,in-network,DC,"From Teamlink: 11 plan(s) · sample: Amerigroup DC / Carelon / Carelon - Becon Half Option HMO"
